id,prediction,metric,expected_relation,observed,verdict,source
P1,deterministic baseline is overconfident: PICP clearly below 0.95,picp95[map],picp95[map] < 0.95,"E2: below on 5/6 datasets (0.826-0.957; only power_plant reaches 0.957); E1: 0.752-0.790, below on 3/3",confirmed,"e2_uci.csv, e1_synthetic.csv"
P2,BBB has narrower bands than the GP and coverage below nominal,mpiw95[bbb] vs mpiw95[gp]; picp95[bbb],mpiw95[bbb] < mpiw95[gp] and picp95[bbb] < 0.95,"E2: narrower on 1/4 datasets (concrete); picp95[bbb] below 0.95 on 2/6 (0.917-0.990). E1 agrees with the prediction (picp95 0.547-0.645, narrower than GP on 2/3)",refuted,"e2_uci.csv, e1_synthetic.csv"
P3,"MC dropout is overconfident on interpolation, the GP overestimates","picp95[mcd], picp95[gp]",picp95[mcd] < 0.95 < picp95[gp],"E2: mcd ABOVE 0.95 on 5/6 (0.942-0.994), gp BELOW 0.95 on 4/4 (0.919-0.949) — both directions reversed. E1: mcd 0.534-0.650 (prediction holds), gp 0.866-0.906 (it does not)",refuted,"e2_uci.csv, e1_synthetic.csv"
P4,MC dropout under ReLU: uncertainty grows without bound outside the data; under TanH it is bounded,"epi_extrap_ratio[relu] vs [tanh], mean over 3 seeds",epi_extrap_ratio[relu] >> epi_extrap_ratio[tanh],"sin_gap relu 4.36 vs tanh 1.33 (3.28x); sin_homo relu 3.67 vs tanh 1.33 (2.75x). The same direction holds for bbb (16.1 vs 1.01 on sin_gap) and ensemble, but NOT for laplace (laplace run the other way: its linearised predictive grows faster under tanh) — the activation's effect on extrapolation is not a property of ReLU alone",confirmed,e6d_activation.csv
P5,unregularised Laplace overestimates uncertainty,mpiw95[unregularised] vs mpiw95[fixed],mpiw95[unregularised] >> mpiw95[fixed],"the FULL variant does not produce a posterior at all: Cholesky of the posterior precision fails on 6/6 cells (not positive definite), which is a stronger statement than overestimation. Where it is computable — KFAC — the direction holds decisively: sin_gap 3.010 vs 0.632 (4.8x); sin_homo 2.894 vs 0.621 (4.7x). Reported as confirmed on the computable variant, with the full variant's failure recorded rather than worked around by raising the prior precision until it factorises",confirmed,e6c_laplace_structure.csv
P6,diagonal Laplace behaves like dropout; KFAC gives higher OOD uncertainty,"epi_extrap_ratio at the shared prior (fixed), mean over 3 seeds",epi_extrap_ratio[kron] > epi_extrap_ratio[diag],"sin_gap kron 4.00 vs diag 1.03; sin_homo kron 7.10 vs diag 1.15; diag's flatness matches MC dropout's at the shared activation (mcd tanh sin_gap 1.33, sin_homo 1.33), which is the 'behaves like dropout' half",confirmed,e6c_laplace_structure.csv
P7,"tuned Laplace: coverage above nominal, wider bands, slower growth than the GP",picp95[laplace]; epi ratio at the extrapolation edge,picp95[laplace] >= 0.95 and epi_extrap_ratio[laplace] < epi_extrap_ratio[gp],"both halves fail. E2: picp95[laplace] >= 0.95 on 1/6 (0.888-0.958); E1: 2/3. Growth at x=8 on sin_gap: laplace 60.9 vs gp 39.6 — Laplace grows FASTER, not slower. E6c adds a third failure of the same prediction: TUNING the prior precision (marglik) makes the bands WIDER, not better calibrated — mpiw95 1.149 against 0.819 at the shared prior on sin_homo/full, with the extrapolation growth rising from 18.4x to 28.9x",refuted,"e2_uci.csv, e1_synthetic.csv, epistemic_growth.csv, e6c_laplace_structure.csv"
P8,Laplace preserves the MAP network's accuracy exactly,|rmse[laplace] - rmse[map]|,< 1e-10,"exact on all 6 datasets: max |delta| = 0.0e+00 over 120 split pairs. The earlier mixed-thread table (results/e2_uci_mixed_threads.csv) showed 2.36e-03 on kin8nm; that was float64 reduction order differing between a 1-thread and an 8-thread run, not the method, and it disappeared when the table was recomputed at one thread throughout (chapter4_notes.md D23b)",confirmed,e2_uci.csv
P9,deep ensembles are better calibrated than MC dropout,ece_reg[ensemble] vs ece_reg[mcd],ece_reg[ensemble] < ece_reg[mcd],holds on 6/6 UCI datasets; mean ece_reg 0.0509 (ensemble) vs 0.0756 (mcd),confirmed,e2_uci.csv
P10,"mean-field methods (BBB, MCD) do not raise uncertainty in the gap; GP and DE do","gap_ratio (median epistemic std in the gap / in range), sin_gap","gap_ratio[bbb], gap_ratio[mcd] ~ 1 and gap_ratio[gp], gap_ratio[ensemble] > 1","bbb 1.06, mcd 0.68 (mcd's is BELOW 1 — the band narrows in the gap) against gp 3.27 and ensemble 1.41",confirmed,epistemic_growth.csv
